https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume USDT,tradecount
1617494400000,2021-04-04 00:00:00,AAVE/USDT,379.665,412.354,370.000,403.704,283679.5,112048066.2578,206203
1617408000000,2021-04-03 00:00:00,AAVE/USDT,421.629,427.253,376.700,379.916,407572.6,164221661.3642,279585
1617321600000,2021-04-02 00:00:00,AAVE/USDT,383.036,424.483,378.093,421.565,395749.0,158811623.5774,267646
1617235200000,2021-04-01 00:00:00,AAVE/USDT,383.146,395.028,370.067,382.953,342675.2,131869047.0514,236800
1617148800000,2021-03-31 00:00:00,AAVE/USDT,377.949,394.729,356.000,383.345,574997.4,218084100.3353,341002
1617062400000,2021-03-30 00:00:00,AAVE/USDT,361.216,383.875,354.000,378.034,355297.7,132018991.7375,218655
1616976000000,2021-03-29 00:00:00,AAVE/USDT,347.697,368.593,344.742,361.282,321156.0,114802382.7815,206790
1616889600000,2021-03-28 00:00:00,AAVE/USDT,351.838,357.579,330.000,347.697,287376.4,99259523.6667,177615
1616803200000,2021-03-27 00:00:00,AAVE/USDT,358.442,362.361,340.012,351.839,249778.0,87197104.9122,175351
1616716800000,2021-03-26 00:00:00,AAVE/USDT,325.924,361.000,325.694,358.378,386741.8,134506622.3518,234572
1616630400000,2021-03-25 00:00:00,AAVE/USDT,308.230,333.431,298.091,326.127,432026.3,136562169.7657,243168
1616544000000,2021-03-24 00:00:00,AAVE/USDT,330.842,349.379,292.555,308.382,379565.8,124799461.9790,203998
1616457600000,2021-03-23 00:00:00,AAVE/USDT,336.218,345.752,325.750,330.828,293362.3,98912020.8147,181893
1616371200000,2021-03-22 00:00:00,AAVE/USDT,367.875,372.656,330.774,336.257,349148.1,124627353.4826,196968
1616284800000,2021-03-21 00:00:00,AAVE/USDT,370.570,376.575,360.000,367.842,224673.0,82699528.2319,148269
1616198400000,2021-03-20 00:00:00,AAVE/USDT,369.429,397.712,367.975,370.832,343700.7,132184564.5399,195163
1616112000000,2021-03-19 00:00:00,AAVE/USDT,363.497,380.147,353.629,369.684,298767.7,110711825.5411,170343
1616025600000,2021-03-18 00:00:00,AAVE/USDT,383.319,385.197,361.131,363.497,278084.0,103575659.0824,165991
1615939200000,2021-03-17 00:00:00,AAVE/USDT,370.948,384.861,358.000,383.201,332884.7,123332405.6140,191908
1615852800000,2021-03-16 00:00:00,AAVE/USDT,367.725,382.055,350.174,370.749,370292.1,135836353.8141,205703
1615766400000,2021-03-15 00:00:00,AAVE/USDT,380.703,391.537,352.814,367.811,396717.7,147945087.6841,232862
1615680000000,2021-03-14 00:00:00,AAVE/USDT,415.178,419.900,377.410,380.762,442738.8,173555063.1634,236550
1615593600000,2021-03-13 00:00:00,AAVE/USDT,374.474,429.628,359.925,414.966,539312.0,214491507.4756,272475
