https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ICP,Volume USDT,tradecount
1621468800000,2021-05-20 00:00:00,ICP/USDT,122.53,222.00,102.96,164.07,3738215.06,655170696.6444,1898013
1621382400000,2021-05-19 00:00:00,ICP/USDT,163.51,179.00,61.41,122.56,1948426.59,266311855.6760,846388
1621296000000,2021-05-18 00:00:00,ICP/USDT,195.82,205.90,160.23,163.40,1084578.10,195231725.5649,549859
1621209600000,2021-05-17 00:00:00,ICP/USDT,225.47,225.83,184.10,195.92,793711.90,162889127.8732,454199
1621123200000,2021-05-16 00:00:00,ICP/USDT,246.31,264.40,204.49,225.48,658633.67,156372952.7662,406575
1621036800000,2021-05-15 00:00:00,ICP/USDT,304.70,305.19,238.69,246.34,517088.62,139315887.0885,358610
1620950400000,2021-05-14 00:00:00,ICP/USDT,301.68,341.70,291.08,304.63,516292.13,164063789.9921,360951
1620864000000,2021-05-13 00:00:00,ICP/USDT,257.65,346.99,249.68,301.66,989413.91,295149648.0366,662282
1620777600000,2021-05-12 00:00:00,ICP/USDT,364.99,387.18,252.50,257.65,1249975.60,396775192.6076,970392
1620691200000,2021-05-11 00:00:00,ICP/USDT,380.00,478.87,327.96,364.80,780705.33,310134180.7554,827975
